key_id,fields,repeat,seed,frequency_preserved_exactly,cardinality_preserved_exactly,rows,distinct_contexts,ucc_distinctness_ratio,duplicate_excess_rows,singleton_contexts,singleton_context_share,singleton_rows,singleton_row_share,conflicted_contexts,conflicted_rows,bayes_error,bayes_error_rate,agreement_rate,context_size_median,context_size_p90,context_size_p95,context_size_max
K6,Bytes | Outbound Interface | Source Port | Technology of app,10,42,True,True,1048576,834243,0.7955961227416992,214333,747767,0.8963419531239699,747767,0.7131261825561523,24,370,42,4.00543212890625e-05,0.9999599456787109,1.0,2.0,2.0,4743
K7,Bytes | Outbound Interface | Risk of app | Source Port,10,42,True,True,1048576,834993,0.7963113784790039,213583,748921,0.896918896326077,748921,0.7142267227172852,19,331,33,3.147125244140625e-05,0.9999685287475586,1.0,2.0,2.0,4743
K1,Application | Bytes | Outbound Interface | Source Port,11,42,True,True,1048576,835358,0.7966594696044922,213218,749230,0.8968968992934766,749230,0.7145214080810547,17,149,29,2.765655517578125e-05,0.9999723434448242,1.0,2.0,2.0,4724
K2,Application | Bytes | Destination Country | Source Port,11,42,True,True,1048576,840249,0.8013238906860352,208327,756464,0.9002855106045946,756464,0.7214202880859375,11,112,14,1.33514404296875e-05,0.9999866485595703,1.0,1.0,2.0,4706
K3,Bytes | Destination Port | Outbound Interface | Source Port,11,42,True,True,1048576,937028,0.8936195373535156,111548,887375,0.9470101213624352,887375,0.8462667465209961,16,134,21,2.002716064453125e-05,0.9999799728393555,1.0,1.0,2.0,2223
K4,Bytes | Outbound Interface | Source Port | Subcategory of app,11,42,True,True,1048576,834883,0.7962064743041992,213693,748513,0.8965483786350902,748513,0.7138376235961914,19,172,32,3.0517578125e-05,0.999969482421875,1.0,2.0,2.0,4724
K5,Bytes | Category of app | Outbound Interface | Source Port,11,42,True,True,1048576,834752,0.79608154296875,213824,748307,0.8964422966342099,748307,0.7136411666870117,32,225,48,4.57763671875e-05,0.9999542236328125,1.0,2.0,2.0,4724
K6,Bytes | Outbound Interface | Source Port | Technology of app,11,42,True,True,1048576,834367,0.7957143783569336,214209,747731,0.8961655961944803,747731,0.7130918502807617,22,218,39,3.719329833984375e-05,0.9999628067016602,1.0,2.0,2.0,4724
K7,Bytes | Outbound Interface | Risk of app | Source Port,11,42,True,True,1048576,835177,0.7964868545532227,213399,748958,0.8967655957958612,748958,0.7142620086669922,22,189,35,3.337860107421875e-05,0.9999666213989258,1.0,2.0,2.0,4724
K1,Application | Bytes | Outbound Interface | Source Port,12,42,True,True,1048576,835169,0.7964792251586914,213407,749029,0.8968591985574177,749029,0.714329719543457,17,151,29,2.765655517578125e-05,0.9999723434448242,1.0,2.0,2.0,4732
K2,Application | Bytes | Destination Country | Source Port,12,42,True,True,1048576,840262,0.8013362884521484,208314,756637,0.9004774701224142,756637,0.7215852737426758,8,110,11,1.049041748046875e-05,0.9999895095825195,1.0,1.0,2.0,4711
K3,Bytes | Destination Port | Outbound Interface | Source Port,12,42,True,True,1048576,937078,0.8936672210693359,111498,887336,0.9469179726767676,887336,0.8462295532226562,14,128,21,2.002716064453125e-05,0.9999799728393555,1.0,1.0,2.0,2205
K4,Bytes | Outbound Interface | Source Port | Subcategory of app,12,42,True,True,1048576,834767,0.7960958480834961,213809,748423,0.8965651493171148,748423,0.7137517929077148,18,156,31,2.956390380859375e-05,0.9999704360961914,1.0,2.0,2.0,4732
K5,Bytes | Category of app | Outbound Interface | Source Port,12,42,True,True,1048576,834627,0.7959623336791992,213949,748190,0.8964363721758343,748190,0.7135295867919922,31,223,47,4.482269287109375e-05,0.9999551773071289,1.0,2.0,2.0,4732
